n,s_alpha,s_beta,difference
1,0.813172798,0.813172798,0.000000000
2,0.949504274,0.950525118,0.001020844
3,1.142031268,1.143770644,0.001739376
4,1.290805715,1.314418798,0.023613083
5,1.443692472,1.536410184,0.092717711
6,1.548438478,1.650413461,0.101974983
7,1.673103659,1.739990064,0.066886405
8,1.755920845,1.837139621,0.081218776
9,1.867280187,1.937812673,0.070532486
10,1.940695856,2.108972073,0.168276217
11,2.033001912,2.186248327,0.153246415
12,2.114873024,2.266420599,0.151547575
13,2.200045626,2.396531282,0.196485656
14,2.307719091,2.424051772,0.116332680
15,2.384961814,2.570050183,0.185088369
16,2.446640126,2.534897827,0.088257701
17,2.508123821,2.749757623,0.241633802
18,2.576408767,2.747833410,0.171424643
19,2.646448813,2.865044338,0.218595526
20,2.742469178,2.936308918,0.193839740
21,2.811666565,2.977674924,0.166008359
22,2.873269698,3.050374731,0.177105033
23,2.912265320,3.080867213,0.168601893
24,2.961778880,3.214110004,0.252331124
25,3.050181840,3.201377481,0.151195641
26,3.118320195,3.300058578,0.181738383
27,3.129442380,3.362655893,0.233213513
28,3.201709849,3.389799431,0.188089583
29,3.265286083,3.466454967,0.201168884
30,3.290365221,3.521222794,0.230857574
31,3.388245492,3.613622230,0.225376738
32,3.420763418,3.637868519,0.217105102
33,3.491250343,3.650387769,0.159137425
34,3.542755212,3.666870134,0.124114922
35,3.583283798,3.801252491,0.217968693
36,3.594095162,3.819979347,0.225884184
37,3.697638011,3.848786073,0.151148062
38,3.732003425,3.922038400,0.190034975
39,3.754786651,3.937662070,0.182875419
40,3.806037476,4.017268447,0.211230971
41,3.883637628,4.054865269,0.171227641
42,3.925203652,4.138890816,0.213687164
43,3.988949667,4.161875518,0.172925851
44,4.023165711,4.180931880,0.157766169
45,4.044734175,4.252821839,0.208087664
46,4.094485736,4.333573799,0.239088062
47,4.099045031,4.348454471,0.249409440
48,4.131033243,4.404316870,0.273283627
49,4.219972512,4.415268160,0.195295648
50,4.247076269,4.518913996,0.271837727
51,4.317907569,4.548704423,0.230796854
52,4.334703180,4.567808831,0.233105651
53,4.379306679,4.593429125,0.214122447
54,4.417161284,4.670716760,0.253555476
55,4.418860284,4.706284855,0.287424571
56,4.441590034,4.708303254,0.266713220
57,4.524252762,4.794586146,0.270333384
58,4.594863146,4.784024625,0.189161479
59,4.614506193,4.905888499,0.291382306
60,4.629849279,4.935236743,0.305387464
61,4.674965618,4.954824469,0.279858851
62,4.692409345,5.075264119,0.382854774
63,4.717445392,5.028967068,0.311521676
64,4.736027727,5.012082839,0.276055112
65,4.862807323,5.103797867,0.240990544
66,4.866864288,5.154043220,0.287178932
67,4.869110704,5.222797950,0.353687246
68,4.903703733,5.204653239,0.300949506
69,4.945954103,5.293578601,0.347624498
70,4.946303402,5.355254613,0.408951211
71,5.000876839,5.374402505,0.373525666
72,5.009620360,5.369001714,0.359381354
73,5.101336806,5.399589255,0.298252450
74,5.151828326,5.449430273,0.297601947
