id,x,y,deg
001_0,s0.0,s0.0,s135.000000
002_0,s0.835993,s-0.019158,s23.498983
002_1,s1.144564,s0.504747,s203.584785
003_0,s2.676829,s1.891561,s-23.235263
003_1,s2.302895,s2.405572,s294.428884
003_2,s2.210087,s1.807715,s23.780133
004_0,s1.426076,s1.844691,s-66.294778
004_1,s1.579148,s1.175464,s113.660385
004_2,s1.16722,s1.433741,s23.239626
004_3,s1.838872,s1.587858,s203.61837
005_0,s1.172705,s0.298496,s24.514107
005_1,s1.530977,s0.507443,s238.288769
005_2,s2.16178,s1.217691,s59.679633
005_3,s1.320046,s0.835177,s349.080144
005_4,s2.16768,s0.608849,s58.201569
006_0,s1.555707,s1.201244,s-22.577027
006_1,s1.56246,s2.097004,s155.678416
006_2,s2.005629,s2.175145,s-167.339665
006_3,s2.097356,s0.948796,s373.068532
006_4,s2.558674,s1.287512,s22.106978
006_5,s2.556524,s2.171264,s202.139384
007_0,s1.467643,s1.056671,s22.631259
007_1,s1.901745,s1.386088,s266.272941
007_2,s1.952759,s1.894464,s-64.848027
007_3,s2.554409,s1.81597,s204.26248
007_4,s1.926,s0.817768,s113.246306
007_5,s2.229223,s0.95525,s234.851297
007_6,s1.483854,s2.022722,s193.385168
008_0,s1.075415,s1.348527,s-65.286302
008_1,s1.980319,s1.44427,s114.870026
008_2,s1.089099,s0.814335,s-68.12548
008_3,s1.978196,s0.810889,s112.722412
008_4,s2.378743,s1.490681,s-23.580899
008_5,s2.230658,s1.190165,s211.871188
008_6,s1.064681,s1.974859,s268.380371
008_7,s1.894621,s1.879659,s-68.649696
009_0,s1.886814,s1.846023,s43.221065
009_1,s0.871401,s0.882569,s246.225765
009_2,s0.96457,s2.286779,s214.338505
009_3,s0.980727,s1.718088,s156.250119
009_4,s1.649576,s1.525742,s109.892686
009_5,s2.377815,s2.174692,s66.347389
009_6,s1.485065,s0.92294,s289.033296
009_7,s2.352565,s1.727453,s132.897913
009_8,s2.382352,s0.894773,s110.3298
010_0,s1.814838,s0.632535,s26.560049
010_1,s2.116058,s1.805523,s124.449845
010_2,s1.945234,s1.161265,s-62.605987
010_3,s2.594158,s0.959041,s131.296944
010_4,s2.730378,s1.537238,s1.432353
010_5,s3.345809,s0.741075,s113.674742
010_6,s2.172583,s2.081883,s-56.039671
010_7,s3.322682,s1.396831,s132.732405
010_8,s1.787138,s2.311674,s156.493718
010_9,s3.358795,s1.865192,s-306.164657
011_0,s1.800887,s0.997245,s-111.829403
011_1,s1.962137,s1.569715,s219.924482
011_2,s2.816337,s0.897463,s39.909177
011_3,s2.675658,s2.108954,s143.682496
011_4,s3.444415,s2.124636,s-23.487599
011_5,s2.765654,s1.468238,s326.018649
011_6,s3.377527,s0.9052,s-28.736949
011_7,s3.478888,s1.813195,s146.08337
011_8,s1.799739,s2.531491,s291.756981
011_9,s2.016788,s1.939082,s-26.482122
011_10,s2.574089,s2.510009,s275.161033
012_0,s1.44006,s0.973074,s-66.569122
012_1,s2.171543,s0.818087,s113.637138
012_2,s1.87781,s1.539891,s56.069518
012_3,s2.273409,s1.660803,s187.95765
012_4,s2.75882,s1.017579,s8.093536
012_5,s3.270375,s1.390886,s54.177707
012_6,s3.155484,s1.921103,s-23.634684
012_7,s3.266937,s0.829933,s108.999209
012_8,s1.430531,s2.276554,s237.252142
012_9,s2.093805,s2.432472,s65.548146
012_10,s2.245331,s2.179193,s248.162195
012_11,s2.991296,s2.43462,s69.509987
013_0,s2.169191,s1.396088,s14.904289
013_1,s1.761122,s1.336232,s156.37205
013_2,s1.91276,s0.645974,s-38.339415
013_3,s2.681201,s1.250256,s146.48504
013_4,s2.796358,s0.614945,s-36.95749
013_5,s3.527809,s2.585855,s152.053768
013_6,s3.477074,s1.700318,s-26.178953
013_7,s3.552056,s1.13216,s144.204062
013_8,s1.781705,s2.558164,s156.41224
013_9,s2.804584,s2.477433,s66.567531
013_10,s2.221876,s2.331187,s192.702016
013_11,s2.86815,s1.917489,s-28.572478
013_12,s3.181761,s1.455342,s69.722318
014_0,s2.443607,s0.77752,s23.194779
014_1,s3.508891,s0.645312,s107.361537
014_2,s2.915963,s1.289144,s1.671666
014_3,s3.648781,s1.537326,s139.755149
014_4,s3.31499,s1.82797,s-13.749536
014_5,s4.335603,s1.434053,s55.382445
014_6,s3.711815,s0.946236,s-76.125599
014_7,s4.332179,s0.648816,s115.393278
014_8,s2.545504,s2.51909,s148.928843
014_9,s2.377464,s1.591996,s-42.874154
014_10,s3.009859,s0.975939,s146.018842
014_11,s2.893925,s2.279486,s-57.772824
014_12,s3.752203,s2.38953,s284.930907
014_13,s4.33265,s2.101062,s103.985109
015_0,s1.837893,s0.687485,s23.919911
015_1,s2.64472,s0.923222,s122.850357
015_2,s2.313917,s1.895149,s89.099018
015_3,s2.381522,s1.285058,s-25.995634
015_4,s2.831147,s1.390046,s-60.46475
015_5,s3.344491,s1.109017,s140.631636
015_6,s3.664428,s1.161749,s-31.371451
015_7,s3.870315,s0.796234,s113.786078
015_8,s1.838159,s1.557273,s203.873467
015_9,s1.880762,s2.821464,s171.090718
015_10,s2.264393,s2.490675,s228.648974
015_11,s2.738827,s2.711953,s-65.517467
015_12,s3.160779,s2.014828,s49.346318
015_13,s3.72828,s2.168996,s-192.976999
015_14,s3.313211,s2.63013,s254.13548
016_0,s2.111016,s1.523395,s-35.641326
016_1,s1.934697,s2.0996,s284.016846
016_2,s2.050052,s0.946937,s24.348509
016_3,s2.790894,s1.85154,s188.252602
016_4,s3.196656,s0.946847,s9.924688
016_5,s3.386955,s1.812247,s189.704218
016_6,s3.906353,s1.579523,s-7.771537
016_7,s4.024081,s1.05766,s113.837724
016_8,s2.310429,s2.946307,s293.424228
016_9,s2.047898,s2.537553,s23.944806
016_10,s2.587623,s0.957063,s369.743188
016_11,s3.246922,s2.976275,s123.414436
016_12,s2.779367,s2.200545,s305.855107
016_13,s3.524523,s2.937403,s-65.923428
016_14,s3.615511,s2.344458,s125.593361
016_15,s3.923439,s2.448999,s-22.268106
017_0,s1.816227,s1.094286,s23.507973
017_1,s2.192771,s0.834473,s119.887689
017_2,s2.560856,s0.648163,s-19.956801
017_3,s2.601493,s1.52353,s269.022815
017_4,s2.061648,s1.483703,s-21.829197
017_5,s3.169649,s1.198991,s160.762983
017_6,s3.700612,s0.650882,s15.031658
017_7,s2.964559,s2.901927,s126.265475
017_8,s4.03304,s1.18655,s56.400407
017_9,s3.923724,s2.205118,s203.360851
017_10,s1.830406,s1.975732,s383.665803
017_11,s1.709055,s2.862545,s-66.793712
017_12,s2.075811,s2.364322,s336.608532
017_13,s2.65037,s2.297508,s-202.132227
017_14,s3.325614,s1.931819,s238.107007
017_15,s4.016549,s2.804694,s85.329127
017_16,s3.119741,s2.497949,s246.278039
018_0,s2.06006,s1.108813,s21.893822
018_1,s2.058982,s1.995639,s201.763182
018_2,s2.350967,s0.747588,s-15.740275
018_3,s2.844527,s2.060505,s70.98501
018_4,s2.967092,s0.742084,s-6.01459
018_5,s2.833695,s1.704162,s168.920983
018_6,s3.289054,s1.519702,s-53.784533
018_7,s3.875732,s2.630534,s157.435182
018_8,s4.197033,s0.758284,s39.340422
018_9,s4.152547,s2.25799,s203.467294
018_10,s2.054916,s2.723743,s156.402765
018_11,s2.444577,s2.552679,s-24.204788
018_12,s3.045393,s2.423975,s19.66618
018_13,s3.258042,s1.9914,s-22.667414
018_14,s3.94821,s1.602316,s219.514663
018_15,s3.517005,s2.866604,s66.837128
018_16,s3.405587,s1.153268,s220.702399
018_17,s4.27279,s2.849921,s57.495017
019_0,s2.29011,s1.340454,s23.615773
019_1,s2.199384,s2.128501,s271.392801
019_2,s2.699239,s1.062685,s113.497776
019_3,s2.763728,s1.824001,s195.678117
019_4,s3.051671,s2.088494,s-52.539412
019_5,s3.321687,s1.409915,s144.654125
019_6,s3.568487,s0.947071,s-35.575732
019_7,s3.737418,s2.036414,s165.593668
019_8,s4.101045,s1.094638,s-116.004886
019_9,s4.465031,s1.596066,s204.589754
019_10,s2.284925,s2.805114,s23.376834
019_11,s3.575251,s3.312993,s222.679689
019_12,s2.677958,s2.466744,s-0.471661
019_13,s2.948743,s3.280979,s67.207561
019_14,s3.215533,s2.626102,s-1.509863
019_15,s4.105453,s2.356424,s-313.005629
019_16,s4.62394,s2.03178,s87.057595
019_17,s4.120611,s3.228477,s-61.916928
019_18,s4.2418,s2.857642,s227.191057
020_0,s2.811483,s0.988198,s37.526659
020_1,s2.625385,s1.825039,s217.413154
020_2,s3.295682,s0.999189,s-3.023468
020_3,s3.877212,s3.407976,s120.4856
020_4,s3.907219,s1.011387,s37.788927
020_5,s3.161285,s2.13398,s174.16806
020_6,s3.809062,s1.622076,s-12.146086
020_7,s4.534152,s1.465285,s149.467809
020_8,s5.019875,s2.088422,s71.031044
020_9,s5.041859,s1.127994,s114.55046
020_10,s2.673507,s2.672702,s180.792078
020_11,s2.776813,s3.027335,s33.233239
020_12,s3.118728,s2.907172,s201.67306
020_13,s3.267755,s3.376333,s73.152726
020_14,s3.754432,s2.607744,s167.202736
020_15,s4.350907,s3.488941,s153.86329
020_16,s4.241146,s1.927839,s250.126168
020_17,s4.138405,s2.617088,s254.532587
020_18,s5.027568,s3.338669,s116.635882
020_19,s5.046155,s2.679061,s74.113655
021_0,s2.108537,s1.335818,s19.890833
021_1,s2.859266,s2.819328,s153.064143
021_2,s2.290941,s0.92169,s-26.742495
021_3,s2.939539,s1.558746,s153.672619
021_4,s3.090449,s0.927001,s-26.467809
021_5,s3.723537,s0.924921,s20.051959
021_6,s3.244434,s2.51804,s-67.415267
021_7,s3.628296,s1.876971,s205.850132
021_8,s4.329448,s1.416651,s-32.259031
021_9,s4.54361,s1.058324,s115.705434
021_10,s2.298514,s1.905187,s263.26793
021_11,s2.002444,s3.292479,s-111.361149
021_12,s2.965461,s2.276272,s205.315309
021_13,s2.8798,s3.344848,s65.544092
021_14,s3.052751,s3.106344,s255.841888
021_15,s3.528956,s3.480866,s216.006025
021_16,s4.426603,s3.473886,s204.387293
021_17,s3.791719,s2.176024,s-21.639974
021_18,s4.485231,s2.322553,s139.139795
021_19,s4.378009,s2.651386,s25.303712
021_20,s2.039081,s2.268747,s-43.271102
022_0,s2.45239,s1.696597,s-37.406926
022_1,s2.478575,s1.402883,s155.977049
022_2,s2.930503,s1.327538,s-5.020048
022_3,s3.203693,s0.992963,s113.392621
022_4,s3.399312,s2.034357,s31.671881
022_5,s3.682752,s0.934461,s24.247811
022_6,s4.178294,s0.890676,s7.708483
022_7,s4.660501,s1.932842,s221.413727
022_8,s4.608739,s1.306628,s41.757122
022_9,s4.988347,s1.005248,s114.442755
022_10,s3.852589,s3.044199,s97.167847
022_11,s2.902667,s2.732892,s-1.901801
022_12,s3.901942,s2.436596,s59.382154
022_13,s3.414388,s3.394256,s65.91357
022_14,s4.370416,s2.053824,s20.253687
022_15,s4.709505,s2.893618,s90.005112
022_16,s3.65002,s1.911588,s203.793671
022_17,s4.256229,s3.309212,s67.46467
022_18,s4.860745,s2.597429,s204.380468
022_19,s4.988791,s3.260128,s54.843928
022_20,s2.474665,s2.989909,s23.759329
022_21,s2.641641,s2.534437,s142.47498
023_0,s2.081929,s0.88069,s29.716093
023_1,s2.068849,s1.69141,s210.564517
023_2,s2.499093,s1.798707,s-29.525346
023_3,s2.718321,s1.443396,s159.381236
023_4,s3.177468,s2.271133,s19.147049
023_5,s3.189164,s0.992764,s112.635813
023_6,s3.614857,s1.225853,s68.210828
023_7,s4.033873,s1.042568,s117.886974
023_8,s4.423839,s0.887016,s-12.633339
023_9,s4.444962,s2.246618,s203.381747
023_10,s1.934735,s2.00538,s315.440281
023_11,s2.571187,s2.56388,s-11.247079
023_12,s3.151869,s1.738611,s317.452619
023_13,s3.95043,s2.186669,s137.726514
023_14,s3.473285,s2.79495,s237.646902
023_15,s3.211027,s3.042787,s-28.367396
023_16,s4.333093,s1.651128,s90.425489
023_17,s4.520852,s3.409921,s66.560705
023_18,s4.437358,s3.001835,s159.214468
023_19,s4.017101,s3.068128,s31.978752
023_20,s1.896421,s3.298167,s-58.906577
023_21,s1.924182,s2.662357,s309.39066
023_22,s2.709761,s3.425007,s-66.421609
024_0,s1.855259,s1.497003,s-84.177562
024_1,s1.824642,s0.897617,s295.889179
024_2,s2.876424,s1.941771,s74.03855
024_3,s2.991605,s0.747818,s263.359883
024_4,s3.225767,s1.140417,s6.965494
024_5,s3.832716,s0.731398,s243.94235
024_6,s3.642038,s1.149747,s-36.055869
024_7,s4.608963,s1.521616,s116.591905
024_8,s4.509943,s2.202173,s147.017648
024_9,s4.610989,s0.808898,s63.869312
024_10,s1.81832,s2.105107,s236.16636
024_11,s2.269059,s2.399002,s55.536583
024_12,s2.235411,s0.696645,s246.559569
024_13,s3.131302,s3.045694,s116.551977
024_14,s3.122057,s2.478979,s193.582639
024_15,s3.558694,s1.830463,s-58.045198
024_16,s4.609445,s2.661062,s112.639253
024_17,s4.573924,s3.164131,s59.239318
024_18,s3.46097,s2.813716,s213.988204
024_19,s4.051886,s2.79259,s12.734366
024_20,s2.718604,s3.266838,s66.658249
024_21,s2.210889,s2.939115,s395.802269
024_22,s3.64999,s3.236014,s-294.821973
024_23,s2.611408,s1.19977,s322.623555
025_0,s1.867695,s1.367202,s-24.338846
025_1,s2.513295,s1.983495,s155.779895
025_2,s2.145102,s2.293026,s-45.56368
025_3,s2.892816,s1.486734,s112.476437
025_4,s3.340138,s1.649856,s56.465288
025_5,s3.814689,s1.379452,s19.82911
025_6,s3.44377,s3.174891,s70.44863
025_7,s3.872355,s2.404844,s186.600087
025_8,s4.361876,s1.374593,s19.987722
025_9,s4.358573,s2.352059,s203.860867
025_10,s1.822973,s2.192075,s155.673995
025_11,s2.447108,s3.404609,s26.580069
025_12,s2.556036,s3.084081,s252.137843
025_13,s3.964472,s4.015119,s-65.344879
025_14,s2.799781,s2.28236,s315.600104
025_15,s3.401432,s2.138174,s0.189719
025_16,s4.067111,s3.260496,s137.527307
025_17,s4.331417,s3.673769,s-153.688546
025_18,s4.482782,s2.804656,s98.698394
025_19,s3.692174,s3.523763,s6.636278
025_20,s1.852836,s3.261706,s26.66778
025_21,s1.987876,s2.958094,s141.657231
025_22,s2.508495,s4.024709,s-65.932006
025_23,s1.806293,s4.142748,s205.82732
025_24,s3.315031,s3.946837,s113.276666
026_0,s2.812667,s1.637406,s0.671589
026_1,s2.70774,s2.783587,s156.611719
026_2,s3.352861,s1.996189,s47.105707
026_3,s3.468173,s1.710922,s246.47341
026_4,s3.660216,s3.086667,s131.436155
026_5,s3.910415,s2.174249,s200.009846
026_6,s4.204033,s3.015636,s42.521621
026_7,s4.210859,s2.645101,s235.890511
026_8,s5.471796,s1.735509,s98.260045
026_9,s4.992899,s3.28553,s239.780149
026_10,s5.178933,s2.110883,s25.027093
026_11,s5.361271,s2.735927,s203.991825
026_12,s2.709593,s3.307288,s22.94377
026_13,s3.593399,s3.966486,s-134.884461
026_14,s3.75076,s2.469281,s88.886224
026_15,s3.010264,s3.07085,s-48.819534
026_16,s3.094461,s3.659748,s-20.117157
026_17,s4.824249,s3.599463,s74.330587
026_18,s4.057471,s4.107893,s253.921701
026_19,s4.426506,s1.625838,s-40.774197
026_20,s4.605394,s3.140104,s192.296373
026_21,s4.578461,s4.355797,s-66.619136
026_22,s5.470663,s4.339648,s474.362102
026_23,s5.330722,s3.835228,s-162.879387
026_24,s3.805278,s4.364349,s66.27197
026_25,s2.607788,s4.186482,s288.464078
027_0,s3.050975,s1.544632,s23.968181
027_1,s3.467746,s1.25071,s113.708794
