N,count,s,s2,s2_over_n
1,1,0.862170277,0.743337587,0.743337587
2,2,0.949504274,0.901558366,0.450779183
3,3,1.142031268,1.304235417,0.434745139
4,4,1.290805715,1.666179394,0.416544849
5,5,1.443692472,2.084247954,0.416849591
6,6,1.548438478,2.397661721,0.399610287
7,7,1.673103659,2.799275854,0.399896551
8,8,1.755920845,3.083258013,0.385407252
9,9,1.867280187,3.486735296,0.387415033
10,10,1.940695856,3.766300407,0.376630041
11,11,2.033001912,4.133096774,0.375736070
12,12,2.114873024,4.472687909,0.372723992
13,13,2.200045626,4.840200755,0.372323135
14,14,2.307719091,5.325567405,0.380397672
15,15,2.384961814,5.688042854,0.379202857
16,16,2.446640126,5.986047908,0.374127994
17,17,2.508123821,6.290685102,0.370040300
18,18,2.576408767,6.637882136,0.368771230
19,19,2.646448813,7.003691318,0.368615333
20,20,2.742469178,7.521137193,0.376056860
21,21,2.811666565,7.905468873,0.376450899
22,22,2.873269698,8.255678755,0.375258125
23,23,2.912265320,8.481289296,0.368751709
24,24,2.961778880,8.772134132,0.365505589
25,25,3.050181840,9.303609254,0.372144370
26,26,3.118320195,9.723920839,0.373996955
27,27,3.129442380,9.793409608,0.362718874
28,28,3.201709849,10.250945956,0.366105213
29,29,3.265286083,10.662093202,0.367658386
30,30,3.290365221,10.826503285,0.360883443
31,31,3.388245492,11.480207514,0.370329275
32,32,3.420763418,11.701622359,0.365675699
33,33,3.491250343,12.188828960,0.369358453
34,34,3.542755212,12.551114490,0.369150426
35,35,3.583283798,12.839922774,0.366854936
36,36,3.594095162,12.917520037,0.358820001
37,37,3.697638011,13.672526857,0.369527753
38,38,3.732003425,13.927849567,0.366522357
39,39,3.754786651,14.098422796,0.361498020
40,40,3.806037476,14.485921265,0.362148032
41,41,3.883637628,15.082641227,0.367869298
42,42,3.925203652,15.407223710,0.366838660
43,43,3.988949667,15.911719446,0.370039987
44,44,4.023165711,16.185862336,0.367860508
45,45,4.044734175,16.359874545,0.363552768
46,46,4.094485736,16.764813446,0.364452466
47,47,4.099045031,16.802170166,0.357492982
48,48,4.131033243,17.065435657,0.355529910
49,49,4.219972512,17.808168005,0.363432000
50,50,4.247076269,18.037656834,0.360753137
51,51,4.317907569,18.644325778,0.365575015
52,52,4.334703180,18.789651659,0.361339455
53,53,4.379306679,19.178326986,0.361855226
54,54,4.417161284,19.511313811,0.361320626
55,55,4.418860284,19.526326208,0.355024113
56,56,4.441590034,19.727722032,0.352280751
57,57,4.524252762,20.468863052,0.359102861
58,58,4.594863146,21.112767328,0.364013230
59,59,4.614506193,21.293667407,0.360909617
60,60,4.629849279,21.435504347,0.357258406
61,61,4.674965618,21.855303529,0.358283664
62,62,4.692409345,22.018705462,0.355140411
63,63,4.717445392,22.254291026,0.353242715
64,64,4.736027727,22.429958628,0.350468104
65,65,4.862807323,23.646895064,0.363798386
66,66,4.866864288,23.686367998,0.358884364
67,67,4.869110704,23.708239052,0.353854314
68,68,4.903703733,24.046310296,0.353622210
69,69,4.945954103,24.462461990,0.354528435
70,70,4.946303402,24.465917345,0.349513105
71,71,5.000876839,25.008769156,0.352236185
72,72,5.009620360,25.096296148,0.348559669
73,73,5.101336806,26.023637204,0.356488181
74,74,5.151828326,26.541335100,0.358666691
75,75,5.157285717,26.597595969,0.354634613
76,76,5.170786622,26.737034295,0.351803083
77,77,5.199590884,27.035745357,0.351113576
78,78,5.236686832,27.422888974,0.351575500
79,79,5.247529063,27.536561265,0.348564067
80,80,5.252660577,27.590443134,0.344880539
81,81,5.372522399,28.863996927,0.356345641
82,82,5.378889090,28.932447841,0.352834730
83,83,5.408763885,29.254726763,0.352466588
84,84,5.427796993,29.460980202,0.350725955
85,85,5.461682938,29.829980511,0.350940947
86,86,5.487037858,30.107584454,0.350088191
87,87,5.548411429,30.784869384,0.353849073
88,88,5.555128677,30.859454621,0.350675621
89,89,5.557474525,30.885523094,0.347028349
90,90,5.557803825,30.889183354,0.343213148
91,91,5.626714716,31.659918495,0.347911192
92,92,5.662182657,32.060312438,0.348481657
93,93,5.724385343,32.768587552,0.352350404
94,94,5.755210263,33.122445173,0.352366438
95,95,5.758811817,33.163913547,0.349093827
96,96,5.766661021,33.254379330,0.346399785
97,97,5.832862431,34.022284144,0.350745197
98,98,5.847863806,34.197511092,0.348954195
99,99,5.849564228,34.217401661,0.345630320
100,100,5.878187890,34.553092867,0.345530929
101,101,5.949020062,35.390839693,0.350404353
102,102,5.950486303,35.408287245,0.347140071
103,103,5.953502994,35.444197900,0.344118426
104,104,5.953518379,35.444381087,0.340811357
105,105,6.000147212,36.001766563,0.342873967
106,106,6.015759133,36.189357946,0.341409037
107,107,6.085477546,37.033036969,0.346103149
108,108,6.091417435,37.105366366,0.343568207
109,109,6.092576899,37.119493266,0.340545810
110,110,6.093992521,37.136744847,0.337606771
111,111,6.181505897,38.211015151,0.344243380
112,112,6.229502469,38.806701006,0.346488402
113,113,6.274237720,39.366058969,0.348372203
114,114,6.277001864,39.400752397,0.345620635
115,115,6.292986852,39.601683515,0.344362465
116,116,6.312517461,39.847876690,0.343516178
117,117,6.325245678,40.008732885,0.341954982
118,118,6.332552581,40.101222185,0.339840866
119,119,6.352178807,40.350175599,0.339077106
120,120,6.365692031,40.522035035,0.337683625
121,121,6.520087041,42.511535024,0.351335000
122,122,6.549326122,42.893672658,0.351587481
123,123,6.556361295,42.985873433,0.349478646
124,124,6.558052626,43.008054252,0.346839147
125,125,6.572460540,43.197237548,0.345577900
126,126,6.585001804,43.362248761,0.344144831
127,127,6.589605743,43.422903846,0.341912629
128,128,6.634308503,44.014049319,0.343859760
129,129,6.636247882,44.039785946,0.341393690
130,130,6.636541477,44.043682775,0.338797560
131,131,6.637409452,44.055204236,0.336299269
132,132,6.638072920,44.064012094,0.333818273
133,133,6.737306604,45.391300274,0.341287972
134,134,6.813786758,46.427689984,0.346475298
135,135,6.847870918,46.893336113,0.347358045
136,136,6.856373299,47.009854809,0.345660697
137,137,6.858472463,47.038644528,0.343347770
138,138,6.861384877,47.078602437,0.341149293
139,139,6.884481243,47.396081982,0.340979007
